"No.","Radio ID","Name","Call Type","Call Alert"
"258","7703306","ALTAIR","Private Call","None"
"259","7704077","RADAR","Private Call","None"
"260","7705778","TUMAN","Private Call","None"
"261","7770348","VITAMIN","Private Call","None"
"262","7800056","AYVENGO","Private Call","None"
"263","7800305","VALKOD","Private Call","None"
"264","7800555","BOLTIK","Private Call","None"
"265","7801081","ULUDAG","Private Call","None"
"266","7806534","OLEG","Private Call","None"
"267","7809113","KOMYAGA","Private Call","None"
"268","8000001","NEPTUNE","Private Call","None"
"269","8200001","KVAK","Private Call","None"
"270","8600001","LESNIK","Private Call","None"
"271","9200015","KOSHEY","Private Call","None"
"272","9200787","SANSEY","Private Call","None"
"273","9601990","LOST","Private Call","None"
