"No.","Radio ID","Callsign","Name","City","State","Country","Remarks","Call Type","Call Alert"
"263","7700023","BARON","","","","","","Private Call","None"
"264","7700024","NAUM","","","","","","Private Call","None"
"265","7700025","CCCP","","","","","","Private Call","None"
"266","7700030","VETER","","","","","","Private Call","None"
"267","7700077","WOROBEY","","","","","","Private Call","None"
"268","7700100","RADIO","","","","","","Private Call","None"
"269","7700101","MARIOTT","","","","","","Private Call","None"
"270","7700110","BESS","","","","","","Private Call","None"
"271","7700111","MORYAK","","","","","","Private Call","None"
"272","7700115","DRIM","","","","","","Private Call","None"
"273","7700123","NEMO","","","","","","Private Call","None"
"274","7700163","EGER163","","","","","","Private Call","None"
"275","7700165","ROO165","","","","","","Private Call","None"
"276","7700233","PIZZA","","","","","","Private Call","None"
"277","7700292","KARAS","","","","","","Private Call","None"
"278","7700327","MEDIC","","","","","","Private Call","None"
"279","7700345","CHAJKA","","","","","","Private Call","None"
"280","7700500","BOBER","","","","","","Private Call","None"
"281","7700524","ANGARA","","","","","","Private Call","None"
"282","7700543","PRIMUS","","","","","","Private Call","None"
"283","7700545","ANDR545","","","","","","Private Call","None"
"284","7700666","BRODYGA","","","","","","Private Call","None"
"285","7700777","FIJI","","","","","","Private Call","None"
"286","7700850","QRA7787","","","","","","Private Call","None"
"287","7700888","PYTHON","","","","","","Private Call","None"
"288","7700985","QRATRCK","","","","","","Private Call","None"
"289","7700999","ORCA28","","","","","","Private Call","None"
"290","7701015","SERAFIM","","","","","","Private Call","None"
"291","7701988","INDEEC","","","","","","Private Call","None"
"292","7702158","VANDAM","","","","","","Private Call","None"
"293","7702202","REVAZ","","","","","","Private Call","None"
"294","7702641","RUBIN","","","","","","Private Call","None"
"295","7702785","CACTUS","","","","","","Private Call","None"
"296","7703306","ALTAIR","","","","","","Private Call","None"
"297","7704077","RADAR","","","","","","Private Call","None"
"298","7705778","TUMAN","","","","","","Private Call","None"
"299","7770348","VITAMIN","","","","","","Private Call","None"
"300","7800056","AYVENGO","","","","","","Private Call","None"
"301","7800305","VALKOD","","","","","","Private Call","None"
"302","7800555","BOLTIK","","","","","","Private Call","None"
"303","7800996","RYZHYI","","","","","","Private Call","None"
"304","7801081","ULUDAG","","","","","","Private Call","None"
"305","7806534","OLEG","","","","","","Private Call","None"
"306","7809113","KOMYAGA","","","","","","Private Call","None"
"307","8000001","NEPTUNE","","","","","","Private Call","None"
"308","8000073","MUSEMAN","","","","","","Private Call","None"
"309","8200001","KVAK","","","","","","Private Call","None"
"310","8600001","LESNIK","","","","","","Private Call","None"
"311","9200015","KOSHEY","","","","","","Private Call","None"
"312","9200787","SANSEY","","","","","","Private Call","None"
"313","9600002","SEVERNY","","","","","","Private Call","None"
"314","9601990","LOST","","","","","","Private Call","None"
