"ContactName","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","FiveToneCalls-S5CLDLL_5TTELEGRAM","FiveToneCalls-S5CLDLL_5TCALLADD","Delete_MDCCalls","MDCCalls-AU_CALLLSTID","MDCCalls-AU_MDCSYS","MDCCalls-AU_RVRTPERS_Zone","MDCCalls-AU_RVRTPERS","MDCCalls-AU_SPTPLDPL","MDCCalls-AU_CALLTYPE","Delete_QuikCallIICalls","QuikCallIICalls-QU_QCIISYS","QuikCallIICalls-QU_RVRTPERS_Zone","QuikCallIICalls-QU_RVRTPERS","QuikCallIICalls-QU_CALLFORMAT","QuikCallIICalls-QU_TONEATXFRE","QuikCallIICalls-QU_CODEA","QuikCallIICalls-QU_TONEBTXFRE","QuikCallIICalls-QU_CODEB","QuikCallIICalls-QU_STRIPPLDPL","Delete_DigitalCalls","DigitalCalls-DU_CALLLSTID","DigitalCalls-DU_ROUTETYPE","DigitalCalls-DU_CALLPRCDTNEN","DigitalCalls-DU_RINGTYPE","DigitalCalls-DU_TXTMSGALTTNTP","DigitalCalls-DU_CALLTYPE","DigitalCalls-DU_OVCMCALL","Delete_CapacityPlusCalls","CapacityPlusCalls-CAPPLUSUCL_CALLLSTID","CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE","CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN","CapacityPlusCalls-CAPPLUSUCL_RINGTYPE","CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP","CapacityPlusCalls-CAPPLUSUCL_CALLTYPE","Delete_PhoneCalls","PhoneCalls-PHNUCLELL_CALLID","PhoneCalls-PHNUCLELL_RINGTYPE"
"Contact Name","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","Five Tone Calls - Telegram","Five Tone Calls - Address","Delete_MDCCalls","MDC Calls - Call ID (Hex)","MDC Calls - MDC System","MDC Calls - Revert Channel Zone","MDC Calls - Revert Channel","MDC Calls - Strip TPL/DPL","MDC Calls - Call Type","Delete_QuikCallIICalls","Quik CallII Calls - Quik-Call II System","Quik CallII Calls - Revert Channel Zone","Quik CallII Calls - Revert Channel","Quik CallII Calls - Call Format","Quik CallII Calls - Tone A Freq (Hz)","Quik CallII Calls - Tone A Code","Quik CallII Calls - Tone B Freq (Hz)","Quik CallII Calls - Tone B Code","Quik CallII Calls - Strip TPL/DPL","Delete_DigitalCalls","Digital Calls - Call ID","Digital Calls - Route Type","Digital Calls - Call Receive Tone","Digital Calls - Ring Style","Digital Calls - Text Message Alert Tone","Digital Calls - Call Type","Digital Calls - DU_OVCMCALL","Delete_CapacityPlusCalls","Capacity Plus Calls - Call ID","Capacity Plus Calls - Route Type","Capacity Plus Calls - Call Receive Tone","Capacity Plus Calls - Ring Style","Capacity Plus Calls - Text Message Alert Tone","Capacity Plus Calls - Call Type","Delete_PhoneCalls","Phone Calls - Number","Phone Calls - Ring Type"
"LANC","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500794","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"AGAT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500795","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KOTY","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500816","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"RAPT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500824","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"WAVU","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500857","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ZHIR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500863","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BUME","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500881","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SLON","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500908","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KAZA2","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500920","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"CHAK2","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500929","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"PRME","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500940","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"DIMG","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500945","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"UA1Z","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2501029","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BABI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2501086","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"4UVA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2501108","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SP35","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2501122","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KOTL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502011","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"VIRU","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502117","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KUBA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502138","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"TAYF","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502143","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"XLOR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502146","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ODMI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502153","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"DIOD","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502188","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BELG","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502208","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"PETR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2502226","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KARD","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2503228","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"INGE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2503281","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
